"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T00:00:00","57.9","71.1","65.1","74.6","66.9","81.0","73.9","73.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T01:00:00","57.0","71.1","65.0","73.2","64.9","80.1","72.9","72.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T02:00:00","57.0","71.1","65.0","72.1","64.9","79.0","72.0","72.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T03:00:00","57.9","71.1","65.0","71.3","64.0","78.1","71.2","71.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T04:00:00","57.9","71.1","65.0","70.6","64.0","77.0","70.5","70.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T05:00:00","57.9","71.1","65.0","70.0","63.0","75.9","70.0","70.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T06:00:00","57.9","71.1","65.1","69.8","63.0","75.9","69.8","69.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T07:00:00","59.0","72.0","65.8","71.8","64.9","78.1","71.7","71.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T08:00:00","59.0","72.0","66.0","74.5","66.9","80.1","74.0","74.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T09:00:00","59.0","72.0","66.0","77.7","69.1","82.9","76.5","76.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T10:00:00","57.9","72.0","65.9","80.6","70.0","86.0","78.8","78.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T11:00:00","57.9","72.0","65.8","83.0","73.0","88.0","80.8","80.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T12:00:00","57.9","71.1","65.6","85.1","73.9","90.0","82.7","82.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T13:00:00","57.0","71.1","65.5","86.7","75.0","91.9","84.2","84.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T14:00:00","57.0","71.1","65.2","87.8","75.9","93.0","85.3","85.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T15:00:00","57.0","72.0","65.1","88.1","75.9","93.9","85.7","85.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T16:00:00","55.9","71.1","64.8","88.2","75.9","93.9","85.8","85.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T17:00:00","55.0","71.1","64.5","87.4","75.9","93.0","85.2","85.2"
